,countyr_code,alpha3code,country,country_name,date,deaths,epiweek_onset,imported_cases,lab_confirmed_cases,nombre_pais,num_country_code,num_country_code2,num_gbs,num_gbs_with_zika,num_records,num_microcephaly_associated,other_neuro_complications,other_source_transmission,pregnant_women,report_epi_week,severe_cases,sovereign,status,sub_region,suspected_cases,suspect_cases_bin,total_cases,total_cases_bin,year
13,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
14,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
15,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,1,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,100%,0%,2016.0
16,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
17,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,9,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,900%,0%,2016.0
18,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
19,GLP,GLP,Guadeloupe,Guadeloupe,"January, 2016",0.0,0.0,0.0,7,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,700%,0%,2016.0
20,GLP,GLP,Guadeloupe,Guadeloupe,"February, 2016",0.0,0.0,0.0,0,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,France,Participating State \Territory,Latin Caribbean,0,0K,0%,0%,2016.0
21,GLP,GLP,Guadeloupe,Guadeloupe,"February, 2016",0.0,0.0,0.0,8,Guadalupe,312.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0.0,France,Participating State \Territory,Latin Caribbean,221,0K,22900%,0%,2016.0
0,GTM,GTM,Guatemala,Guatemala,"October, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
1,GTM,GTM,Guatemala,Guatemala,"October, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
2,GTM,GTM,Guatemala,Guatemala,"October, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
3,GTM,GTM,Guatemala,Guatemala,"October, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
4,GTM,GTM,Guatemala,Guatemala,"November, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
5,GTM,GTM,Guatemala,Guatemala,"November, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
6,GTM,GTM,Guatemala,Guatemala,"November, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
7,GTM,GTM,Guatemala,Guatemala,"November, 2015",0.0,0.0,0.0,1,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46,0.0,Guatemala,Member State,Central America,0,0K,100%,0%,2015.0
8,GTM,GTM,Guatemala,Guatemala,"November, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
9,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
10,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
11,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
12,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
13,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2015.0
14,GTM,GTM,Guatemala,Guatemala,"December, 2015",0.0,0.0,0.0,67,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,52,0.0,Guatemala,Member State,Central America,200,0K,26700%,0%,2015.0
15,GTM,GTM,Guatemala,Guatemala,"January, 2016",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2016.0
16,GTM,GTM,Guatemala,Guatemala,"January, 2016",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2016.0
